"x"
"Acroteriobatus_annulatus"
"Acroteriobatus_blochii"
"Aculeola_nigra"
"Atlantoraja_castelnaui"
"Bathyanthias_cubensis"
"Bathyraja_spinicauda"
"Brevitrygon_walga"
"Bythaelurus_canescens"
"Callorhinchus_callorynchus"
"Carcharhinus_amboinensis"
"Carcharhinus_brachyurus"
"Carcharhinus_cerdale"
"Carcharhinus_leucas"
"Carcharhinus_limbatus"
"Carcharhinus_melanopterus"
"Carcharhinus_obscurus"
"Carcharhinus_perezii"
"Carcharhinus_porosus"
"Caspiomyzon_hellenicus"
"Caspiomyzon_wagneri"
"Dasyatis_chrysonota"
"Dasyatis_hastata"
"Diplobatis_colombiensis"
"Diplobatis_ommata"
"Diplobatis_picta"
"Discopyge_tschudii"
"Dules_auriga"
"Entosphenus_folletti"
"Entosphenus_lethophagus"
"Entosphenus_macrostoma"
"Entosphenus_minimus"
"Entosphenus_similis"
"Entosphenus_tridentatus"
"Eptatretus_nanii"
"Eptatretus_polytrema"
"Etmopterus_bigelowi"
"Eudontomyzon_danfordi"
"Eudontomyzon_mariae"
"Eudontomyzon_morii"
"Eudontomyzon_stankokaramani"
"Fluvitrygon_oxyrhynchus"
"Fluvitrygon_signifer"
"Fontitrygon_garouaensis"
"Fontitrygon_margarita"
"Fontitrygon_margaritella"
"Fontitrygon_ukpam"
"Galeocerdo_cuvier"
"Galeus_cadenati"
"Geotria_australis"
"Glaucostegus_cemiculus"
"Glaucostegus_granulatus"
"Gymnura_marmorata"
"Gymnura_micrura"
"Heliotrygon_gomesi"
"Heliotrygon_rosai"
"Hemitrygon_akajei"
"Hemitrygon_laevigata"
"Hemitrygon_laosensis"
"Hemitrygon_navarrae"
"Hemitrygon_sinensis"
"Heterodontus_francisci"
"Himantura_krempfi"
"Hypanus_guttatus"
"Hypanus_rudis"
"Hypanus_sabinus"
"Ichthyomyzon_bdellium"
"Ichthyomyzon_castaneus"
"Ichthyomyzon_fossor"
"Ichthyomyzon_gagei"
"Ichthyomyzon_greeleyi"
"Ichthyomyzon_unicuspis"
"Isogomphodon_oxyrhynchus"
"Lampetra_aepyptera"
"Lampetra_ayresii"
"Lampetra_fluviatilis"
"Lampetra_hubbsi"
"Lampetra_pacifica"
"Lampetra_planeri"
"Lampetra_richardsoni"
"Lampetra_zanandreai"
"Lepidosiren_paradoxa"
"Leptocharias_smithii"
"Lesueurina_platycephala"
"Lethenteron_appendix"
"Lethenteron_camtschaticum"
"Lethenteron_kessleri"
"Lethenteron_reissneri"
"Leucoraja_wallacei"
"Mirolabrichthys_tuka"
"Mobula_hypostoma"
"Mordacia_lapicida"
"Mordacia_mordax"
"Mordacia_praecox"
"Mustelus_higmani"
"Mustelus_lunulatus"
"Mustelus_mento"
"Mustelus_mustelus"
"Mustelus_schmitti"
"Myxine_australis"
"Narcine_brasiliensis"
"Narcine_entemedor"
"Neoceratodus_forsteri"
"Okamejei_kenojei"
"Othos_dentex"
"Paratrygon_aiereba"
"Pastinachus_sephen"
"Pateobatis_bleekeri"
"Petromyzon_marinus"
"Plesiotrygon_iwamae"
"Plesiotrygon_nana"
"Potamotrygon_boesemani"
"Potamotrygon_brachyura"
"Potamotrygon_constellata"
"Potamotrygon_falkneri"
"Potamotrygon_henlei"
"Potamotrygon_histrix"
"Potamotrygon_humerosa"
"Potamotrygon_leopoldi"
"Potamotrygon_magdalenae"
"Potamotrygon_marinae"
"Potamotrygon_motoro"
"Potamotrygon_ocellata"
"Potamotrygon_orbignyi"
"Potamotrygon_schroederi"
"Potamotrygon_schuhmacheri"
"Potamotrygon_scobina"
"Potamotrygon_signata"
"Potamotrygon_tatianae"
"Potamotrygon_tigrina"
"Potamotrygon_yepezi"
"Pristis_clavata"
"Pristis_microdon"
"Pristis_pectinata"
"Pristis_perotteti"
"Pristis_pristis"
"Protopterus_aethiopicus"
"Protopterus_amphibius"
"Protopterus_annectens"
"Protopterus_dolloi"
"Psammobatis_scobina"
"Pseudobatos_glaucostigma"
"Pseudobatos_lentiginosus"
"Pseudobatos_leucorhynchus"
"Pseudobatos_percellens"
"Raja_miraletus"
"Rhinobatos_albomaculatus"
"Rhinobatos_rhinobatos"
"Rhinoptera_bonasus"
"Rhinoptera_steindachneri"
"Rhizoprionodon_acutus"
"Rhizoprionodon_lalandii"
"Rhizoprionodon_longurio"
"Rhizoprionodon_porosus"
"Rhizoprionodon_terraenovae"
"Rhynchobatus_djiddensis"
"Rioraja_agassizii"
"Rostroraja_texana"
"Schroederichthys_bivius"
"Schroederichthys_chilensis"
"Schroederichthys_maculatus"
"Scyliorhinus_boa"
"Scyliorhinus_hesperius"
"Sphyrna_lewini"
"Sphyrna_tiburo"
"Squatina_argentina"
"Squatina_occulta"
"Styracura_schmardae"
"Sympterygia_lima"
"Tetrapleurodon_geminis"
"Tetrapleurodon_spadiceus"
"Torpedo_fuscomaculata"
"Triakis_scyllium"
"Urobatis_concentricus"
"Urobatis_halleri"
"Urobatis_maculatus"
"Urogymnus_granulatus"
"Urogymnus_polylepis"
"Urotrygon_nana"
"Urotrygon_rogersi"
"Zameus_squamulosus"
"Zapteryx_brevirostris"
"Zapteryx_exasperata"
"Zearaja_chilensis"
