Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Agri,Native,0.053267796,0.116396567,0.830335638,Italy,Palearctic,16.11443895,40.30474355,1793.905904,12.94598116,624.422633,11.80696368,90.35566437,7,0.37,0.567567568
Agri,Non-native,0.156898536,0.141318422,0.701783041,Italy,Palearctic,16.11443895,40.30474355,1793.905904,12.94598116,624.422633,11.80696368,90.35566437,7,0.37,0.567567568
Agrioun,Native,0.072770886,0.315848694,0.611380419,Algeria,Palearctic,5.318949924,36.46707972,935.093939,14.60076429,689.2137448,9.618891716,88.56642645,2,0.49,0.367346939
Aguan,Native,0.334797229,0.325103291,0.34009948,Honduras,Neotropic,-86.5264528,15.3673542,10729.91663,23.57841736,160.1879452,1.406728059,99.96440083,35,0.39,0.666666667
Aguanaval,Native,0.18535355,0.333841578,0.480804871,Mexico,Nearctic,-102.8729234,24.50174289,32876.21725,18.31110933,383.3844797,2.332078218,97.75463639,6,0.64,0.1875
Aguanaval,Non-native,0.683312848,0.001428299,0.315258853,Mexico,Nearctic,-102.8729234,24.50174289,32876.21725,18.31110933,383.3844797,2.332078218,97.75463639,6,0.64,0.1875
Ahaggar,Native,0.148385021,0.291826396,0.559788583,Niger,Afrotropic,11.6722529,20.70012574,509587.0451,25.55558806,666.2751181,0.00495751,99.81823326,6,0.51,0.058823529
Aire,Native,0.059522415,0.434814749,0.505662836,Australia,Australasia,143.5043358,-38.71244633,274.452692,12.42157883,287.0125851,1.046649024,99.93070148,10,0.31,0.612903226
Aki,Native,0.150209193,0.373599148,0.476191659,Japan,Palearctic,131.6561652,33.50383329,290.0556968,14.97632867,758.7750622,32.8548913,96.82776706,13,0.3,0.6
Akitio,Native,0.027454378,0.369781791,0.602763831,New Zealand,Australasia,176.3076561,-40.45467037,584.3439741,12.41095559,344.2829724,0.408047549,99.85053394,9,0.86,0.069767442
Akitio,Non-native,0,0.088214167,0.911785833,New Zealand,Australasia,176.3076561,-40.45467037,584.3439741,12.41095559,344.2829724,0.408047549,99.85053394,9,0.86,0.069767442
