"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Enteromius_humeralis",3.44883389216937,792.878865597693,1,1.11582541744656,1.41250960361284,7,2.970000029,1.25
"Enteromius_hulstaerti",3.703191243,952.3732754,1,1.157885476,1.428874279,3.5,2.99000001,2.369999886
"Enteromius_huguenyi",3.623699524,873.9345681,1,1.153405034,1.391715081,5.300000191,2.980000019,1.620000005
"Enteromius_holotaenia",33.13509048,1042.600274,1,1.211755075,1.43341467,14.64000034,2.829999924,0.629999995
"Enteromius_haasianus",2.262537787,246.2802386,1,0.778689528,1.250775867,3.900000095,2.980000019,2.150000095
"Enteromius_gurneyi",3.892506521,1100.359759,1,1.23091278,1.445133789,12.2,3.380000114,0.75
"Enteromius_guirali",3.603392418,863.9050915,1,1.147268987,1.404245601,15.5,2.950000048,0.600000024
"Enteromius_guineensis",3.704102188,924.5624338,1,1.154183297,1.415965727,14.27000046,2.950000048,0.649999976
"Enteromius_guildi",3.638312848,877.9135892,1,1.157173365,1.400378087,6.829999924,2.970000029,1.279999971
"Enteromius_greenwoodi",3.6995609,917.4903985,1,1.145807631,1.396847225,3.8,2.980000019,2.210000038
"Enteromius_foutensis",3.549275521,899.7679394,1,1.12792569,1.391174676,10.97999954,2.960000038,0.819999993
"Enteromius_fasciolatus",3.041994136,535.0549688,1,0.991696512,1.324694296,7.320000172,2.970000029,1.200000048
"Enteromius_eutaenia",4.460307023,1651.172274,1,1.359440862,1.476671396,17.07999992,3.200000048,0.550000012
"Enteromius_erythrozonus",3.588200653,908.3806047,1,1.132165541,1.390766012,3.170000076,2.99000001,2.599999905
"Enteromius_eburneensis",3.523061528,901.5375729,1,1.143495923,1.391287221,9.029999733,2.960000038,0.99000001
"Enteromius_dorsolineatus",3.74509423076095,943.148017039699,1,1.14247993517333,1.40245674767757,9.149999619,2.960000038,0.980000019
"Enteromius_ditinensis",3.663414093,966.5529012,1,1.172665089,1.405251521,7.440000057,2.970000029,1.179999948
"Enteromius_diamouanganai",3.589394029,882.3378125,1,1.128053185,1.400670512,13.78999996,2.950000048,0.670000017
"Enteromius_dialonensis",3.660217984,949.1941363,1,1.142234193,1.412127717,9.880000114,2.960000038,0.910000026
"Enteromius_deserti",3.72712355302625,931.225096149485,1,1.14103574332183,1.4038109681575,9,2.960000038,0.99000001
"Enteromius_deguidei",1.8,304.875708825844,1,0.7,1.36358570473656,4.510000229,2.980000019,1.879999995
"Enteromius_condei",3.679665414,924.8371639,1,1.131044231,1.404185758,3.420000076,2.99000001,2.420000076
"Enteromius_collarti",3.605256639,909.8518381,1,1.147248197,1.444449391,3.5,2.99000001,2.369999886
"Enteromius_clauseni",3.615802519,982.7179577,1,1.142531105,1.419705841,3.660000086,2.980000019,2.279999971
"Enteromius_citrinus",3.10639163844322,638.694190435811,1,1.08259422734408,1.42396946478362,5,2.980000019,1.710000038
"Enteromius_choloensis",4.87620270616466,1639.18492145448,1,1.23281659431811,1.37230386281173,21.4,2.940000057,0.449999988
"Enteromius_chlorotaenia",3.63451001,892.8439682,1,1.160898056,1.405880786,9.800000191,2.960000038,0.920000017
"Enteromius_chiumbeensis",3,955.5832242,1,1,1.393756936,8,2.970000029,1.100000024
"Enteromius_chicapaensis",3.652800359,1020.620546,1,1.147456981,1.402799792,10.48999977,2.960000038,0.860000014
"Enteromius_caudosignatus",2.4,972.9480644,1,0.8,1.408060132,6,2.970000029,1.450000048
"Enteromius_catenarius",3.606985067,922.7301049,1,1.151076533,1.394369693,5.489999771,2.970000029,1.559999943
"Enteromius_castrasibutum",3.23271407375714,692.569466202425,1,1.09502601100331,1.41970153113675,5.699999809,2.970000029,1.50999999
"Enteromius_carens",3.596126198,915.3002459,1,1.141096889,1.387707672,3.900000095,2.980000019,2.150000095
"Enteromius_carcharhinoides",4,916.2723318,1,1.2,1.407872223,9.920000076,2.960000038,0.910000026
"Enteromius_candens",3.62213228,940.0611093,1,1.137768001,1.413131865,3.170000076,2.99000001,2.599999905
"Enteromius_camptacanthus",3.657337765,894.8416032,1,1.147297207,1.406357284,15.5,2.950000048,0.600000024
"Enteromius_callipterus",3.70138915,930.3200242,1,1.153234061,1.432185215,10.10000038,2.960000038,0.889999986
"Enteromius_cadenati",3.574885927,928.4202724,1,1.142977246,1.396059061,8.659999847,2.960000038,1.029999971
"Enteromius_brichardi",3.678291768,922.3142052,1,1.170258241,1.416894725,7.809999943,2.970000029,1.129999995
"Enteromius_brevipinnis",2.840973463,470.9401034,1,0.943565366,1.320665174,5.5,3.5,1.559999943
"Enteromius_brevilateralis",3.617796352,925.927789,1,1.147765298,1.429283216,7.6,2.970000029,1.159999967
"Enteromius_brevidorsalis",2.441658618,299.4157761,1,0.822766681,1.298920765,4.599999905,2.980000019,1.840000033
"Enteromius_breviceps",3.77889727148123,957.836856322616,1,1.14565959563425,1.40249519066082,9.4,2.960000038,0.949999988
"Enteromius_brazzai",3.618809817,884.8786483,1,1.118923773,1.414702638,13.42000008,2.950000048,0.680000007
"Enteromius_brachygramma",3.42682933,775.2490472,1,1.084700606,1.401672052,5.199999809,2.980000019,1.649999976
"Enteromius_bourdariei",3.635730763,941.3885094,1,1.14338495,1.402965091,13.18000031,2.950000048,0.699999988
"Enteromius_boboi",3.348517076,774.513626,1,1.081780703,1.368412036,6.340000153,2.970000029,1.370000005
"Enteromius_bigornei",3.635610139,900.591132,1,1.149991817,1.426787218,13.90999985,2.950000048,0.660000026
"Enteromius_bifrenatus",3.628872805,940.2921097,1,1.138236968,1.416287423,8.539999962,2.609999895,1.039999962
"Enteromius_bawkuensis",3.566955675,929.5246496,1,1.138252623,1.435820901,3.539999962,2.99000001,2.349999905
"Enteromius_baudoni",3.605845844,911.5025986,1,1.144222518,1.414307865,4.03000021,2.980000019,2.079999924
"Enteromius_barotseensis",3.581697854,893.5262419,1,1.132317321,1.420994148,6.1,2.970000029,1.419999957
"Enteromius_barnardi",3.289535025,693.1698105,1,1.049711597,1.397698423,8.539999962,2.630000114,1.039999962
"Enteromius_bagbwensis",3.600848161,910.0391804,1,1.138647086,1.397061023,11.71000004,2.960000038,0.779999971
"Enteromius_atromaculatus",3.41827675987118,777.056087813516,1,1.11302855046036,1.41398103818008,6.800000191,2.970000029,1.279999971
"Enteromius_atkinsoni",2.87244255537339,542.399318830555,1,1.05821367888486,1.43267285689086,3.900000095,2.980000019,2.150000095
"Enteromius_atakorensis",3.636648352,914.4859654,1,1.141160306,1.380932871,4.389999866,2.980000019,1.919999957
"Enteromius_aspilus",3.569053862,929.7996055,1,1.144725502,1.407000129,15.85999966,2.950000048,0.589999974
"Enteromius_argenteus",5.189094548,2676.665577,1,1.547172761,1.516687828,19.70000076,3.200000048,0.479999989
"Enteromius_arcislongae",3.56992071862202,852.082085130555,1,1.12708357601629,1.40872454634302,7.809999943,2.970000029,1.129999995
"Enteromius_arambourgi",3.5345558361759,832.894949977244,1,1.12393638732495,1.41043625176368,7.559999943,2.970000029,1.159999967
"Enteromius_apleurogramma",2.993448382,490.9380693,1,1,1.33740491,6.7,2.900000095,1.320000052
"Enteromius_ansorgii",3.536490418,892.4898107,1,1.155363351,1.406614139,8.199999809,2.960000038,1.080000043
"Enteromius_anoplus",4,1750,1,1,1.393124952,14.64000034,2.690000057,0.629999995
"Enteromius_anniae",3.559088964,927.8967446,1,1.146183676,1.387524985,10.13000011,2.960000038,0.889999986
"Enteromius_annectens",3.396290929,746.3231109,1,1.070263335,1.359890893,9.149999619,2.960000038,0.980000019
"Enteromius_anema",3.590361626,910.5128489,1,1.145119277,1.415789136,3.660000086,2.980000019,2.279999971
"Enteromius_amatolicus",3.66574358960276,899.941172988334,1,1.1355093154332,1.40547554969205,8.539999962,2.960000038,1.039999962
"Enteromius_amanpoae",1.6,256.738000486836,1,0.6,1.35038538585106,4,2.980000019,2.099999905
"Enteromius_aloyi",3.433659256,786.9038853,1,1.115016583,1.392156975,4.670000076,2.980000019,1.820000052
"Enteromius_aliciae",3.610270098,899.1958222,1,1.138859231,1.404174179,8.5,2.960000038,1.039999962
"Enteromius_alberti",3.269088363,658.9165189,1,1.055561536,1.364278021,9.06000042,2.960000038,0.980000019
"Enteromius_afrovernayi",2.913478951,512.7596639,1,0.95612747,1.317013151,5.7,3.5,1.50999999
"Enteromius_afrohamiltoni",4.332578252,1595.552935,1,1.351205649,1.478535789,21.4,3.200000048,0.449999988
"Enteromius_ablabes",10,500,1,1.4,1.390064749,11.71000004,2.450000048,0.779999971
"Enteromius_aboinensis",3.628164206,878.6672862,1,1.140838388,1.409611657,8.539999962,2.960000038,1.039999962
"Eechathalakenda_ophicephalus",5.984468777,6270.515706,1,1.85034547,1.59092492,19.60000038,2.730000019,0.479999989
"Diplocheilichthys_pleurotaenia",5.59980204662937,4511.66772012135,1,1.76172546969864,1.56293722195217,27.45000076,2.210000038,0.349999994
"Desmopuntius_rhomboocellatus",4.876009612,1545.58976,1,1.593369484,1.570448939,8.800000191,2.910000086,1.00999999
"Desmopuntius_pentazona",4.048504437,200,1,1.356342957,1.466401486,8.800000191,2.910000086,1.00999999
"Desmopuntius_johorensis",4.697813741,1310.759762,1,1.509683636,1.51551597,12,2.930000067,0.75999999
"Desmopuntius_gemellus",4.49165947333178,1072.54872638709,1,1.52948822414051,1.54693698589726,7.929999828,2.920000076,1.110000014
"Desmopuntius_hexazona",4.905071481,1513.934887,1,1.568164334,1.541559373,5.5,2.940000057,1.559999943
"Decorus_xanthogenys",6,10774.1471140168,1,3,1.71590626494837,35.77999878,2.130000114,0.280000001
"Decorus_tungting",6,10350.47322,1,3,1.694599223,25.98999977,2.230000019,0.370000005
"Decorus_rendahli",5,18500,1,2.5,1.772029975,55,2.089999914,0.25
"Decorus_decorus",8.364527036,22150,1,3,1.719549655,40.25999832,2.089999914,0.25
