"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Esmaeilius_isfahanensis",0,0,0,0,0,0,0,0
"Congopanchax_myersi",6.07750688056441,40696.4359994671,0.762187531762766,0.255014410472514,0.733879111696784,0,0,4.35011261369475
"Congopanchax_brichardi",7.26801630595727,62853.6700280705,0.753832328969308,0.268716690291103,0.717259201698835,0,0,2.97442399299601
"Apricaphanius_saourensis",0,0,0,0,0,0,0,0
"Apricaphanius_iberus",0,0,0,0,0,0,0,0
"Apricaphanius_baeticus",0,0,0,0,0,0,0,0
"Aplocheilichthys_spilauchen",0,0,0,0,0,0,0,0.629104762646729
"Aphaniops_stiassnyae",0,0,0,0,0,0,0,0
"Aphaniops_sirhani",0,0,0,0,0,0,0,0
"Aphaniops_richardsoni",12.7842929193128,0,0.613023434071389,0.332661585056778,0.728333977664431,0,0,0
"Aphaniops_ginaonis",0,0,0,0,0,0,0,0
"Aphaniops_dispar",0,0,0,0,0,0,0,0
"Anatolichthys_sureyanus",0,0,0,0,0,0,0,0
"Anatolichthys_anatoliae",0,0,0,0,0,0,0,0
"Tomeurus_gracilis",0,0,0,0,0,0,0,0
"Phallotorynus_victoriae",2.30090146448987,8361.1623273409,1.24502941735612,0.105764237717026,0.299745170206628,0,0,0
"Phallotorynus_psittakos",2.35813824920729,8779.30418066937,1.24266876589344,0.106536216650614,0.299336300195419,0,0,0
"Phallotorynus_pankalos",2.58394363144158,10694.9543400739,1.23455382949229,0.10930971764778,0.296558771818631,0,0,0
"Phallotorynus_jucundus",2.41898641135641,9291.89501402493,1.24045810268186,0.107247790257566,0.298278414650926,0,0,0
"Phallotorynus_dispilos",2.43431163788179,9404.65707042512,1.23983309388597,0.107451030147179,0.298205314639423,0,0,0
"Phallotorynus_fasciolatus",0,0,0,0,0,0,0,0
"Phalloceros_uai",2.04140090269917,12303.6085780719,1.24286144949892,0.0938399664302423,0.304216092622169,0,0,0
"Phalloceros_tupinamba",2.40755438654778,17186.5004479063,1.22737248307622,0.0984462131195056,0.300770384098936,0,0,0
"Phalloceros_spiloura",2.03658335968928,12185.2334548967,1.24287977561325,0.0937977404153112,0.304589559296846,0,0,0
