"Trait","Mean_Spearman","SD_Spearman"
"Life.span",0.880222297436319,0.0151846907396111
"Fecundity",0.948875039133807,0.00674982695738853
"Parental.care",0.954821600341074,0.00541291522492655
"Age.at.maturation",0.927401966638948,0.00636188764473177
"Offspring.size",0.963800071918583,0.00559972866972208
"Max.total.length",NA,NA
"Trophic.level",NA,NA
"K.value",0.951473598419295,0.0051706333680179
