Basin.Name,Country,Ecoregion,Med_Longit,Med_Latit,RBA,MAT,TS,GDP,CSI,NSR,DIS,RAD,dist_between_centroids,Similarity_Centroid
Skjern.aa,Denmark,Palearctic,8.803689373,55.9436646,2971.934352,8.305298338,596.2041352,10.28559589,99.86169374,26,15.49530392,0.588300771,0.129628389,0.885246874
Slupia,Poland,Palearctic,17.34486913,54.30800116,1774.835899,7.353877929,687.4630899,2.851317763,99.8438406,19,8.144119338,0.53034615,0.173549957,0.852115408
Snowy,Australia,Australasia,148.6693987,-36.89253713,15041.94911,11.11377074,451.9085873,0.485031575,94.81745358,24,7.61576868,0.562430354,0.355121395,0.737941268
Soca,Slovenia,Palearctic,13.65822181,46.0839199,3400.575106,9.361898384,701.2385713,16.8644774,99.2924432,21,21.26979651,0.629528012,0.136219879,0.88011134
Sogumgang,South Korea,Palearctic,128.7103953,37.82111874,173.9567245,9.787821757,919.1427942,10.50388777,99.85483529,24,5.041,0.841254902,0.559622908,0.641180631
Sojung.chon,South Korea,Palearctic,126.6695513,33.34528388,65.24442133,13.51968861,758.0041296,9.196617603,99.83241114,11,12.01468885,0.675455701,0.49078585,0.670787156
Somme,France,Palearctic,2.460580202,49.87771053,6209.6637,9.991224074,529.3891622,30.99453592,99.62772764,26,13.22477912,0.651256233,0.111148339,0.899969846
Somsok.chon,South Korea,Palearctic,128.9106017,37.71234906,66.69413324,11.67400175,892.1612511,10.50388753,99.53868778,25,4.423,0.830570292,0.575422783,0.634750247
Sonaktong.gang,South Korea,Palearctic,128.8703698,35.2174918,223.1907356,13.47802084,867.9102476,121.638588,99.0578207,26,2.157913421,0.793099848,0.638225834,0.610416451
Sondagsrivier,South Africa,Afrotropic,24.80306997,-32.70071362,20880.74514,16.99192976,436.0751892,2.583764434,93.99796302,61,1.63782513,0.538181011,0.255611048,0.796424977
Song.Hong,Vietnam,Indo-Malay,103.7147109,22.68837982,161846.4199,19.50273552,437.8643648,2.524968386,98.0374489,229,118.8738969,0.884401347,0.379308986,0.725000714
Song.Lam,Vietnam,Indo-Malay,104.5932008,19.29639124,27352.25335,21.74390963,378.143446,1.314627394,99.69348466,63,52.6935759,0.91891228,0.495954122,0.668469698
Song.Ma,Laos,Indo-Malay,104.3663312,20.50430798,29512.30632,20.98374992,394.2277328,1.636655793,99.87387738,149,52.0483548,0.910040899,0.554670939,0.643222932
Song.chon,South Korea,Palearctic,126.7221244,33.36003521,50.89652507,14.06190474,761.3566275,9.196617603,99.85380133,10,11.69923994,0.675239559,0.494638188,0.669058243
Songam.josuji,South Korea,Palearctic,126.6405661,36.51159563,81.78214859,11.72823277,971.5668672,15.00964975,99.60697979,24,6.171,0.843312871,0.582555065,0.631889545
Songdong.ni,South Korea,Palearctic,129.5014712,35.97051291,29.1689787,13.24418871,825.3395081,70.73008823,99.8591,8,6.498,0.708157406,0.346986659,0.74239785
Songji.ri,South Korea,Palearctic,128.0738043,35.00122828,33.95450929,12.65555556,886.5156345,65.99916458,99.24723941,8,5.979,0.855547367,0.490819083,0.670772203
Sonora,Mexico,Nearctic,-110.5820491,29.76952428,25269.48967,20.3304676,614.3498751,1.271458402,96.9045724,12,1.663708177,0.916328753,0.657453583,0.603335146
Sonoyta,United States,Nearctic,-112.4324699,31.79948775,12542.03861,20.62602585,725.8087906,0.912916556,99.01335265,4,2.549735518,0.907873381,0.534705536,0.651590795
Sonso.ri,South Korea,Palearctic,127.8966505,34.82203098,21.61957618,13.03077968,861.1934381,12.20229626,99.40335,11,8.733,0.83450552,0.528112405,0.654402122
Soppan.nae,South Korea,Palearctic,126.5470588,33.27647059,24.39592445,14.39103528,740.462554,9.196617603,98.0971678,8,12.038,0.675471245,0.38127294,0.723969877
Sorell,Australia,Australasia,145.5093434,-42.54751241,302.1321318,11.13221459,280.2558485,0.088570623,100,5,8.1172531,0.584363621,0.319755415,0.757716156
Sosangni.po,South Korea,Palearctic,127.8508319,34.81410405,22.44956748,12.71419278,863.2915058,12.2022965,99.7837,19,8.733,0.83450552,0.618258394,0.617948285
Soto.la.Marina,Mexico,Neotropic,-98.90102582,23.99654864,20901.85242,22.58944421,454.2786538,1.471902519,95.81717487,84,6.034116604,0.867137154,0.185533302,0.843502244
Sous,Morocco,Palearctic,-8.58139041,30.47451011,17401.8778,16.2917469,541.9667508,1.904019296,96.54325886,3,3.268933893,0.947623981,0.833835718,0.545305117
South.Johnstone,Australia,Australasia,145.7601505,-17.54581496,1637.184515,21.51021388,289.7267081,1.533097506,99.91775439,31,24.20655843,0.874117428,0.722540904,0.580537738
Sperchios,Greece,Palearctic,22.18481505,38.87934552,1518.830546,12.94241156,688.0944385,6.897179484,97.9608245,16,5.797857277,0.84964844,0.763287088,0.567122624
Spey,United Kingdom,Palearctic,-3.711845089,57.21084539,2958.577111,6.090593717,425.0823718,3.079539537,99.92714238,8,18.05432904,0.48861359,0.147490758,0.871466714
Splinter.creek,New Zealand,Australasia,172.2006689,-41.16840644,149.6158087,10.44241594,339.8321903,0.421096705,99.95760551,9,7.523,0.366759888,0.392355813,0.718207222
Ssaryeom,South Korea,Palearctic,126.6165343,37.5989321,46.16420252,11.41871799,1040.154888,121.1980972,99.94745394,19,3.407,0.884966675,0.51082675,0.66188926
Stikine,Canada,Nearctic,-130.0895613,57.63692095,50918.0156,-1.133726925,839.700382,0.012700041,99.94794712,25,65.61102498,0.904866926,0.208769087,0.827287867
Stillaguamish,United States,Nearctic,-121.8760157,48.2286463,1748.8884,7.985482822,540.3232395,5.257395744,99.93805825,22,18.13126023,0.633326247,0.114342225,0.897390387
Stoney,Canada,Nearctic,-53.15826231,46.73011415,323.2465118,5.197347764,732.2605248,0.130399475,99.97725071,5,12.29156094,0.502480953,0.156850899,0.864415631
Stour,United Kingdom,Palearctic,0.717514237,52.06720572,904.6720138,9.6503018,486.197295,35.5254817,99.52338782,24,3.161094208,0.609151268,0.134081924,0.881770513
Strymon,Bulgaria,Palearctic,23.20550224,41.70553962,16826.18541,10.33466388,747.0395981,6.043386102,94.66382225,47,16.68348428,0.685181355,0.076392424,0.929029207
Sturt,Australia,Australasia,138.6088771,-35.00034549,196.4050641,15.45944942,390.8647846,14.24154401,95.88726685,2,0.971,0.951839827,0.756094459,0.56944545
Subarnarekha,India,Indo-Malay,86.12272896,22.66058097,19390.22068,25.69162911,443.6161771,6.530539393,96.53321712,90,79.41464554,0.961478526,0.248601115,0.800896289
Suifen,China,Palearctic,131.1356073,43.88086798,16785.85557,3.340297114,1299.687152,2.216464758,98.94895863,40,7.026522813,0.863789303,0.439891582,0.694496733
Sumjin,South Korea,Palearctic,127.3196134,35.28583257,4831.43908,11.74328002,932.9968732,25.8432312,91.93993313,92,20.08698149,0.853589465,0.175742353,0.850526476
Sungai.Aikwa,Indonesia,Australasia,137.0130768,-4.419728306,2264.596579,22.10880664,76.15400394,0.147315139,99.97625413,123,25.91118874,0.453941176,0.232973034,0.811047746
Sungai.Davur,Indonesia,Australasia,132.3893883,-1.6054389,2869.202034,26.2736422,46.30524487,0.144574096,99.9572204,11,67.05201988,0.391621456,0.379817779,0.724733378
Sungai.Gurun,Malaysia,Indo-Malay,100.4570709,5.847405213,141.9128652,26.97855388,54.57398044,18.72156072,99.8358226,23,6.123,0.676646707,0.19627421,0.835928746
Sungai.Kumbe,Indonesia,Australasia,140.5337827,-7.86998524,4247.817706,26.7900016,88.42088685,0.180363372,99.96515978,40,29.67523346,0.518901745,0.506224751,0.663911544
Sungai.Merbok,Malaysia,Indo-Malay,100.4927632,5.705527695,382.862504,27.26202134,47.49899966,18.72156,99.63032757,24,11.56489912,0.669026573,0.658843664,0.602829562
Suo.chon,South Korea,Palearctic,127.6842254,35.02640687,119.445002,12.53348127,886.6753724,23.00047731,73.25563288,27,1.959334823,0.86959617,0.562586826,0.639964438
Supsa,Georgia,Palearctic,42.2935468,41.93755786,1115.186465,10.06279319,672.3979516,1.931937873,99.96476491,26,14.34713025,0.708468117,0.182330128,0.845787464
Surinam,Suriname,Neotropic,-55.37573004,4.397720281,16743.20928,26.32721899,66.86035445,0.353635266,97.40408837,295,83.87092279,0.744203011,0.226732002,0.815173973
Susan.chon,South Korea,Palearctic,126.4002551,33.4252551,35.09991487,13.58940975,763.6214689,9.196617603,99.82926422,7,12.546,0.657829579,0.433031775,0.697821233
Susquehanna,United States,Nearctic,-76.90414317,41.2588822,71075.52655,8.663773232,925.9109448,19.01282787,96.91928,82,62.55834352,0.760338227,0.13352369,0.882204765
Susurluk.Cayi,Turkey,Palearctic,28.61514554,39.68640645,23768.99736,11.98094189,684.0789246,10.86074829,96.06860398,46,16.14416455,0.865305863,0.093772545,0.914266869
Suwannee,United States,Nearctic,-82.97411509,30.66042908,26532.87138,19.56988307,611.4746304,5.623641849,98.92975393,77,26.35586806,0.445483479,0.302425961,0.767797963
Suzuka,Japan,Palearctic,136.4642652,34.90577937,389.5660372,14.21818044,820.5357466,62.38747406,97.08763657,8,6.316495156,0.438499623,0.352150006,0.739562915
Swakop,Namibia,Afrotropic,16.16142667,-22.20033212,29673.39838,20.25465998,316.6168567,0.339541953,97.18073591,2,1.496459354,0.943199343,0.800214763,0.555489279
Swan,Australia,Australasia,118.0515602,-31.53713532,81991.04125,17.78128548,540.3788794,1.017025068,99.42680375,40,2.952728409,0.910189873,0.285024078,0.778195535
Swan.Tasma,Australia,Australasia,148.0514883,-41.95654574,945.4599119,11.42659515,321.8369253,1.200457007,99.93459451,9,1.399715303,0.539885305,0.354911944,0.738055343
Swartkopsrivier,South Africa,Afrotropic,25.24194915,-33.73421147,1267.173934,17.06805087,322.1011477,9.075122476,86.44567762,71,0.871287958,0.663051442,0.294890643,0.772265987
Syr.Darya,Kazakhstan,Palearctic,69.51581943,42.24134896,320011.1584,7.961610374,1112.847431,1.123046845,96.54688462,21,37.94528084,0.853538217,0.053227567,0.949462425
Tachia,Taiwan,Indo-Malay,121.0821325,24.26663842,1237.086262,13.87952549,390.4635151,41.84625244,91.13069051,45,26.66937369,0.676010498,0.324395752,0.755061316
Tacina,Italy,Palearctic,16.76343877,39.11559888,562.851056,12.7336508,598.2910278,12.08225513,84.95406471,5,4.746860516,0.869095005,0.135002481,0.881055343
Taedong,North Korea,Palearctic,126.2078438,39.12560434,19421.30239,8.305463058,1096.780575,2.507731915,93.31685248,51,24.56593622,0.928206385,0.560395125,0.64086332
Taegok.che,South Korea,Palearctic,127.2388759,34.79981584,58.5534095,13.25492887,886.8983966,12.20229626,99.77972425,24,2.2,0.798575451,0.512479714,0.661165893
Taehwagang,South Korea,Palearctic,129.2196142,35.60578025,665.4170179,12.67789437,863.732366,76.24979115,93.24987668,57,3.897853222,0.759417482,0.173741676,0.851976223
Taesong.josuji,South Korea,Palearctic,126.8470784,37.17543754,88.20795438,11.52764545,1028.775631,121.1980972,98.54923596,21,5.576,0.875850167,0.472729336,0.679011394
Tagliamento,Italy,Palearctic,13.01626306,46.33808974,2946.276813,8.107208274,705.9069643,16.23501587,98.72370455,26,29.00277664,0.568303888,0.167210504,0.856743489
Tagus,Spain,Palearctic,-5.159389718,40.08473113,71216.07416,13.87007156,627.1476551,26.1749301,89.05274073,27,21.17160365,0.861747069,0.098951199,0.909958514
Tahaa,French Polynesia,Oceania,-151.48125,-16.63229167,6.559458141,25.56093717,91.86758041,0.722443581,NA,10,NA,NA,0.870428063,0.534636974
Tahakopa,New Zealand,Australasia,169.3313324,-46.47167798,312.7950978,9.035632177,316.0079801,0.299971998,99.8765742,7,6.036558277,0.357816559,0.433149129,0.697764092
Tahiti.un.1,French Polynesia,Oceania,-149.5235294,-17.56776961,55.48285489,22.37071079,126.4924413,5.182930946,NA,10,NA,NA,0.792470313,0.557889295
Tahiti.un.2,French Polynesia,Oceania,-149.4361407,-17.60056147,115.0249504,21.75842319,134.1065804,5.182930946,NA,10,NA,NA,0.77642888,0.562927124
Tahiti.un.3,French Polynesia,Oceania,-149.2547222,-17.81361111,12.22253437,21.87972209,135.6436951,5.182930946,NA,10,NA,NA,0.77642888,0.562927124
Taieri,New Zealand,Australasia,170.0912198,-45.50194688,5709.716046,8.341131632,417.2687502,1.819370747,96.42363937,18,12.55769043,0.461443679,0.490163534,0.671067287
Taipa,New Zealand,Australasia,173.4982588,-35.0881014,139.6300186,15.00723229,282.0635691,0.801052839,99.77327829,9,3.784,0.611074919,0.890437064,0.528978202
Tairua,New Zealand,Australasia,175.7650414,-37.1022208,275.617753,13.43822092,339.378613,5.400316834,99.82692008,11,6.64195847,0.438893449,0.51731657,0.659058248
Taiyang.He,China,Indo-Malay,110.2011348,18.74656427,586.9747029,24.50904303,323.8967851,0.926976934,99.82843705,24,11.74150913,0.918549925,0.142607325,0.875191309
